addr,name,size,factor_a,factor_b,unit,format,description
0x1431,InjVlv_qFBCCyl3,2,0.003052,-99.998993,mg/hub,8.4f,Zylinderselektive FBC-Mengenkorrektur für Zylinder 3
0x1432,InjVlv_qFBCCyl4,2,0.003052,-99.998993,mg/hub,8.4f,Zylinderselektive FBC-Mengenkorrektur für Zylinder 4
0x1433,InjVlv_qFBCCyl5,2,0.003052,-99.998993,mg/hub,8.4f,Zylinderselektive FBC-Mengenkorrektur für Zylinder 5
0x1434,InjVlv_qFBCCyl6,2,0.003052,-99.998993,mg/hub,8.4f,Zylinderselektive FBC-Mengenkorrektur für Zylinder 6
0x1435,PFlt_resFlowOfs,2,0.001000,0.000000,hPa/(m^3/h),8.5f,Strömungswiderstandoffset
0x1436,PFlt_resFlowFlt,2,0.001000,0.000000,hPa/(m^3/h),8.5f,gefilterter Strömungswiderstand
0x1439,InjCrv_phiPiI1Des,2,0.002930,-90.351389,deg CrS,8.4f,gewünschter Winkelkomponente Ansteuerbeginn PiI1
0x143A,InjCrv_phiPiI2Des,2,0.002930,-90.351389,deg CrS,8.4f,gewünschte Winkelkomponente Ansteuerbeginn PiI2
0x143B,InjCrv_phiPiI3Des,2,0.002930,-90.351389,deg CrS,8.4f,gewünschte Winkelkomponente Ansteuerbeginn PiI3
0x143C,InjVCD_tiPiI1ET_mp,2,0.152594,0.000000,us,8.2f,Ansteuerdauer der Voreinspritzung 1
0x143D,InjVCD_tiPiI2ET_mp,2,0.152594,0.000000,us,8.2f,Ansteuerdauer der Voreinspritzung 2
0x143E,InjVCD_tiPiI3ET_mp,2,0.152594,0.000000,us,8.2f,Ansteuerdauer der Voreinspritzung 3
0x143F,InjCrv_qPiI1Des,2,0.001526,0.000000,mg/inj,8.4f,gewünschte Einspritzmenge PiI 1
0x1440,InjCrv_qPiI2Des,2,0.001526,0.000000,mg/inj,8.4f,gewünschte Einspritzmenge PiI 2
0x1441,InjCrv_qPiI3Des,2,0.001526,0.000000,mg/inj,8.4f,gewünschte Einspritzmenge PiI 3
0x1442,InjCrv_stPiI1_mp,2,1.000000,0.000000,-,5.1f,Freigabestatus PiI1
0x1443,InjCrv_stPiI2_mp,2,1.000000,0.000000,-,5.1f,Freigabestatus PiI2
0x1444,InjVCD_tiMI1ET_mp,2,0.152594,0.000000,us,8.2f,Ansteuerdauer der Haupteinspritzung 1
0x1445,InjCrv_qPiI1Bas_mp,2,0.001526,0.000000,mg/inj,8.4f,Einspritzmenge PiI1 Grundwert
0x1446,InjCrv_qPiI2Bas_mp,2,0.001526,0.000000,mg/inj,8.4f,Einspritzmenge PiI2 Grundwert
0x1447,InjCrv_phiMI1Des,2,0.002930,-90.351389,deg CrS,8.4f,gewünschter Bezugswinkel für Beginn der MI1
0x1448,InjCrv_tiMI1ET,2,0.152594,0.000000,us,8.2f,geschätzte Ansteuerdauer MI1
0x1449,InjCrv_qMI1Des,2,0.001526,0.000000,mg/inj,8.4f,Sollmenge Haupteinspritzung
0x144C,InjCrv_phiPoI1Des,2,0.002930,-90.351389,deg CrS,8.4f,gewünschter Bezugswinkel für Beginn der PoI1
0x144D,InjCrv_tiPoI2Des,2,0.152594,0.000000,us,8.2f,gewünschte Bezugszeitkomponente für Beginn PoI2
0x144E,InjVCD_tiPoI1ET_mp,2,0.152594,0.000000,us,8.2f,Ansteuerdauer Nacheinspritzung 1
0x144F,InjVCD_tiPoI2ET_mp,2,0.152594,0.000000,us,8.2f,Ansteuerdauer der Nacheinspritzung 2
0x1450,APPCD_stKickDown,2,1.000000,0.000000,-,5.1f,Schalter KIck Down
0x1451,FrmMng_swtAC_mp,2,1.000000,0.000000,-,5.1f,Schalter Klimakompressor
0x1452,FrmMng_swtACComp_mp,2,1.000000,0.000000,-,5.1f,Klimabereitschaft
0x1453,CoEng_voltotFlConsum,2,1.000000,0.000000,ul,13.2f,Absoluter Kraftstoffverbrauch
0x1454,PFlt_resFlowRaw_mp,2,0.001000,0.000000,hPa/(m^3/h),8.5f,Strömungswiderstand Rohwert
0x1455,DSM_stRdyCD,2,1.000000,0.000000,-,8.2f,Readiness Status für Diagnoseschnittstelle gemäß SAE J1979 PID1 Byte C * D
0x1456,EngM_trqFrc,2,0.114445,-2500.060084,Nm,8.3f,aktuelles Reibmoment
0x1457,FrmMng_nFan,2,0.011445,0.000000,1/min,8.3f,Lüfterdrehzahl
0x1458,CrCCD_stKey,2,1.000000,0.000000,-,5.1f,Rückgabewert
0x1459,CrCtl_stLampOut,2,1.000000,0.000000,-,5.1f,Status der CrCtl-Lampe (wird über CAN versendet)
0x145F,DSMDur_ctDfctDur1,2,1.000000,0.000000,-,8.2f,Wert Fehlerdauerzähler
0x1460,DSMDur_ctDfctDur2,2,1.000000,0.000000,-,8.2f,Wert Fehlerdauerzähler 2
0x1461,DSMDur_stGlobalDefCnt_mp,2,1.000000,0.000000,-,5.1f,Aktivierungs und Resetzustand der beiden globalen Fehlerdauerzähler
0x1462,Gearbx_stGear,2,1.000000,0.000000,-,5.1f,Ganginformation
0x1463,EngM_stOut,2,1.000000,0.000000,-,5.1f,"state of engine bearing depending on engine speed, engine temperature and gear state"
0x1464,ASDdc_trq,2,0.114445,-2500.060084,Nm,8.3f,Momentforderung Aktiver Ruckeldämpfer (Störungsregler)
0x146A,LIGov_st,2,1.000000,0.000000,-,8.2f,Zustand des Leerlaufreglers
0x146B,FrmMng_tEnv,2,0.016787,-50.138440,deg C,8.3f,Umgebungstemperatur
0x146C,FrmMng_stACHtgReq,2,1.000000,0.000000,-,5.1f,Heizleistungsanforderung über CAN
0x146D,ACCD_stACPresent,2,1.000000,0.000000,-,5.1f,Klimaanlage im Auto vorhanden
0x1478,CrCtl_stShutOffCode1_mp,2,1.000000,0.000000,-,8.2f,Shutoff code
